Volatility 3 Framework 2.7.0

Offset	Base	Size	Name	Path	File output

0xbf0f64a4ea10	0xf8043cc00000	0x1046000	ntoskrnl.exe	\SystemRoot\system32\ntoskrnl.exe	Disabled
0xbf0f64a4ee20	0xf8043b6a0000	0x6000	hal.dll	\SystemRoot\system32\hal.dll	Disabled
0xbf0f64a5a050	0xf8043b6b0000	0xb000	kdcom.dll	\SystemRoot\system32\kd.dll	Disabled
0xbf0f64a5a200	0xf8043b300000	0x39d000	mcupdate.dll	\SystemRoot\system32\mcupdate_GenuineIntel.dll	Disabled
0xbf0f64a5a430	0xf80440c00000	0x6a000	CLFS.SYS	\SystemRoot\System32\drivers\CLFS.SYS	Disabled
0xbf0f64a5a5e0	0xf8043b6c0000	0x27000	tm.sys	\SystemRoot\System32\drivers\tm.sys	Disabled
0xbf0f64a5a790	0xf80440c70000	0x1a000	PSHED.dll	\SystemRoot\system32\PSHED.dll	Disabled
0xbf0f64a5a950	0xf8043b6f0000	0xb000	BOOTVID.dll	\SystemRoot\system32\BOOTVID.dll	Disabled
0xbf0f64a5ab00	0xf80440db0000	0x6f000	FLTMGR.SYS	\SystemRoot\System32\drivers\FLTMGR.SYS	Disabled
0xbf0f64a5acc0	0xf80440e50000	0x63000	msrpc.sys	\SystemRoot\System32\drivers\msrpc.sys	Disabled
0xbf0f64a5b010	0xf80440e20000	0x29000	ksecdd.sys	\SystemRoot\System32\drivers\ksecdd.sys	Disabled
0xbf0f64a593b0	0xf80440c90000	0x113000	clipsp.sys	\SystemRoot\System32\drivers\clipsp.sys	Disabled
0xbf0f64a5b1d0	0xf80440ec0000	0xe000	cmimcext.sys	\SystemRoot\System32\drivers\cmimcext.sys	Disabled
0xbf0f64a5b390	0xf80440ed0000	0x11000	werkernel.sys	\SystemRoot\System32\drivers\werkernel.sys	Disabled
0xbf0f64a5b550	0xf80440ef0000	0xc000	ntosext.sys	\SystemRoot\System32\drivers\ntosext.sys	Disabled
0xbf0f64a5b700	0xf80440f00000	0xe3000	CI.dll	\SystemRoot\system32\CI.dll	Disabled
0xbf0f64a5b8d0	0xf80440ff0000	0xb7000	cng.sys	\SystemRoot\System32\drivers\cng.sys	Disabled
0xbf0f64a5ba90	0xf804410b0000	0xd2000	Wdf01000.sys	\SystemRoot\system32\drivers\Wdf01000.sys	Disabled
0xbf0f64a5bc60	0xf80441190000	0x13000	WDFLDR.SYS	\SystemRoot\system32\drivers\WDFLDR.SYS	Disabled
0xbf0f64a5be10	0xf804411c0000	0x11000	WppRecorder.sys	\SystemRoot\system32\drivers\WppRecorder.sys	Disabled
0xbf0f64a5c010	0xf804411b0000	0xf000	SleepStudyHelper.sys	\SystemRoot\system32\drivers\SleepStudyHelper.sys	Disabled
0xbf0f64a5c1d0	0xf804411e0000	0x26000	acpiex.sys	\SystemRoot\System32\Drivers\acpiex.sys	Disabled
