Volatility 3 Framework 2.7.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xbf0f64a8a730	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	712	services.exe	2021-04-30 17:39:47.000000 
0xbf0f64a8a890	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	712	services.exe	2021-04-30 17:39:47.000000 
0xbf0f64a8a890	TCPv6	::	49669	::	0	LISTENING	712	services.exe	2021-04-30 17:39:47.000000 
0xbf0f664072b0	UDPv4	0.0.0.0	5355	*	0		2168	svchost.exe	2021-04-30 17:41:58.000000 
0xbf0f664072b0	UDPv6	::	5355	*	0		2168	svchost.exe	2021-04-30 17:41:58.000000 
0xbf0f66407a80	UDPv4	0.0.0.0	5355	*	0		2168	svchost.exe	2021-04-30 17:41:58.000000 
0xbf0f66443b40	TCPv4	10.0.2.15	49839	23.35.68.233	443	CLOSE_WAIT	5104	SearchApp.exe	2021-04-30 17:51:24.000000 
0xbf0f66a9a470	TCPv4	0.0.0.0	7680	0.0.0.0	0	LISTENING	2116	svchost.exe	2021-04-30 17:41:47.000000 
0xbf0f66a9a470	TCPv6	::	7680	::	0	LISTENING	2116	svchost.exe	2021-04-30 17:41:47.000000 
0xbf0f66ff6050	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	568	wininit.exe	2021-04-30 12:39:44.000000 
0xbf0f66ff6050	TCPv6	::	49665	::	0	LISTENING	568	wininit.exe	2021-04-30 12:39:44.000000 
0xbf0f66ff6890	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1336	svchost.exe	2021-04-30 12:39:44.000000 
0xbf0f66ff6e10	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	976	svchost.exe	2021-04-30 12:39:44.000000 
0xbf0f66ff70d0	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1336	svchost.exe	2021-04-30 12:39:44.000000 
0xbf0f66ff70d0	TCPv6	::	49666	::	0	LISTENING	1336	svchost.exe	2021-04-30 12:39:44.000000 
0xbf0f66ff77b0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	736	lsass.exe	2021-04-30 12:39:44.000000 
0xbf0f66ff77b0	TCPv6	::	49664	::	0	LISTENING	736	lsass.exe	2021-04-30 12:39:44.000000 
0xbf0f66ff7910	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	976	svchost.exe	2021-04-30 12:39:44.000000 
0xbf0f66ff7910	TCPv6	::	135	::	0	LISTENING	976	svchost.exe	2021-04-30 12:39:44.000000 
0xbf0f66ff7d30	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	736	lsass.exe	2021-04-30 12:39:44.000000 
0xbf0f66ff7e90	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	568	wininit.exe	2021-04-30 12:39:44.000000 
0xbf0f6a535aa0	TCPv4	10.0.2.15	49846	96.90.32.107	7680	SYN_SENT	2116	svchost.exe	2021-04-30 17:52:01.000000 
0xbf0f6a53ca20	TCPv4	10.0.2.15	49833	52.230.222.68	443	ESTABLISHED	2812	svchost.exe	2021-04-30 17:50:07.000000 
0xbf0f6a5a6050	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2600	spoolsv.exe	2021-04-30 17:39:46.000000 
0xbf0f6a5a6730	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1296	svchost.exe	2021-04-30 12:39:44.000000 
0xbf0f6a5a6730	TCPv6	::	49667	::	0	LISTENING	1296	svchost.exe	2021-04-30 12:39:44.000000 
0xbf0f6a5a69f0	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1296	svchost.exe	2021-04-30 12:39:44.000000 
0xbf0f6a5a6e10	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	2021-04-30 17:39:47.000000 
0xbf0f6a5a6e10	TCPv6	::	445	::	0	LISTENING	4	System	2021-04-30 17:39:47.000000 
0xbf0f6a5a7230	TCPv4	10.0.2.15	139	0.0.0.0	0	LISTENING	4	System	2021-04-30 12:39:44.000000 
0xbf0f6a5a7a70	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2600	spoolsv.exe	2021-04-30 17:39:46.000000 
