Volatility 3 Framework 2.7.0

PID	Process	Base	Size	Name	Path	LoadTime	File output

260	smss.exe	0x47640000	0x13000	smss.exe	\SystemRoot\System32\smss.exe	N/A	Disabled
260	smss.exe	0x76e50000	0x142000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	N/A	Disabled
340	csrss.exe	0x4a5a0000	0x5000	csrss.exe	C:\Windows\system32\csrss.exe	N/A	Disabled
340	csrss.exe	0x76e50000	0x142000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	N/A	Disabled
340	csrss.exe	0x74fa0000	0xd000	CSRSRV.dll	C:\Windows\system32\CSRSRV.dll	2018-10-23 08:29:21.000000 	Disabled
340	csrss.exe	0x74f90000	0xe000	basesrv.DLL	C:\Windows\system32\basesrv.DLL	2018-10-23 08:29:21.000000 	Disabled
340	csrss.exe	0x74f60000	0x2c000	winsrv.DLL	C:\Windows\system32\winsrv.DLL	2018-10-23 08:29:22.000000 	Disabled
340	csrss.exe	0x75430000	0xc9000	USER32.dll	C:\Windows\system32\USER32.dll	2018-10-23 08:29:22.000000 	Disabled
340	csrss.exe	0x762d0000	0x4e000	GDI32.dll	C:\Windows\system32\GDI32.dll	2018-10-23 08:29:22.000000 	Disabled
340	csrss.exe	0x76980000	0xd5000	kernel32.dll	C:\Windows\SYSTEM32\kernel32.dll	2018-10-23 08:29:22.000000 	Disabled
340	csrss.exe	0x75050000	0x4b000	KERNELBASE.dll	C:\Windows\system32\KERNELBASE.dll	2018-10-23 08:29:22.000000 	Disabled
340	csrss.exe	0x75280000	0xa000	LPK.dll	C:\Windows\system32\LPK.dll	2018-10-23 08:29:22.000000 	Disabled
340	csrss.exe	0x76fe0000	0x9d000	USP10.dll	C:\Windows\system32\USP10.dll	2018-10-23 08:29:22.000000 	Disabled
340	csrss.exe	0x75290000	0xac000	msvcrt.dll	C:\Windows\system32\msvcrt.dll	2018-10-23 08:29:22.000000 	Disabled
340	csrss.exe	0x74f50000	0x9000	sxssrv.DLL	C:\Windows\system32\sxssrv.DLL	2018-10-23 08:29:23.000000 	Disabled
340	csrss.exe	0x74ea0000	0x5f000	sxs.dll	C:\Windows\system32\sxs.dll	2018-10-23 08:29:25.000000 	Disabled
340	csrss.exe	0x76660000	0xa2000	RPCRT4.dll	C:\Windows\system32\RPCRT4.dll	2018-10-23 08:29:25.000000 	Disabled
340	csrss.exe	0x74e90000	0xc000	CRYPTBASE.dll	C:\Windows\system32\CRYPTBASE.dll	2018-10-23 08:29:25.000000 	Disabled
380	csrss.exe	0x4a5a0000	0x5000	csrss.exe	C:\Windows\system32\csrss.exe	N/A	Disabled
380	csrss.exe	0x76e50000	0x142000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	N/A	Disabled
380	csrss.exe	0x74fa0000	0xd000	CSRSRV.dll	C:\Windows\system32\CSRSRV.dll	2018-10-23 08:29:23.000000 	Disabled
380	csrss.exe	0x74f90000	0xe000	basesrv.DLL	C:\Windows\system32\basesrv.DLL	2018-10-23 08:29:23.000000 	Disabled
380	csrss.exe	0x74f60000	0x2c000	winsrv.DLL	C:\Windows\system32\winsrv.DLL	2018-10-23 08:29:23.000000 	Disabled
380	csrss.exe	0x75430000	0xc9000	USER32.dll	C:\Windows\system32\USER32.dll	2018-10-23 08:29:23.000000 	Disabled
380	csrss.exe	0x762d0000	0x4e000	GDI32.dll	C:\Windows\system32\GDI32.dll	2018-10-23 08:29:23.000000 	Disabled
380	csrss.exe	0x76980000	0xd5000	kernel32.dll	C:\Windows\SYSTEM32\kernel32.dll	2018-10-23 08:29:23.000000 	Disabled
380	csrss.exe	0x75050000	0x4b000	KERNELBASE.dll	C:\Windows\system32\KERNELBASE.dll	2018-10-23 08:29:23.000000 	Disabled
380	csrss.exe	0x75280000	0xa000	LPK.dll	C:\Windows\system32\LPK.dll	2018-10-23 08:29:23.000000 	Disabled
380	csrss.exe	0x76fe0000	0x9d000	USP10.dll	C:\Windows\system32\USP10.dll	2018-10-23 08:29:23.000000 	Disabled
380	csrss.exe	0x75290000	0xac000	msvcrt.dll	C:\Windows\system32\msvcrt.dll	2018-10-23 08:29:23.000000 	Disabled
380	csrss.exe	0x74f50000	0x9000	sxssrv.DLL	C:\Windows\system32\sxssrv.DLL	2018-10-23 08:29:23.000000 	Disabled
380	csrss.exe	0x74ea0000	0x5f000	sxs.dll	C:\Windows\system32\sxs.dll	2018-10-23 08:29:32.000000 	Disabled
380	csrss.exe	0x76660000	0xa2000	RPCRT4.dll	C:\Windows\system32\RPCRT4.dll	2018-10-23 08:29:32.000000 	Disabled
380	csrss.exe	0x74e90000	0xc000	CRYPTBASE.dll	C:\Windows\system32\CRYPTBASE.dll	2018-10-23 08:29:32.000000 	Disabled
380	csrss.exe	0x76380000	0xa1000	ADVAPI32.dll	C:\Windows\system32\ADVAPI32.dll	2018-10-23 08:30:18.000000 	Disabled
