Volatility 3 Framework 2.7.0

Offset	Base	Size	Name	Path	File output

0x83cf61e8	0x82604000	0x427000	ntoskrnl.exe	\SystemRoot\system32\ntkrnlpa.exe	Disabled
0x83cf6170	0x82a2b000	0x36000	hal.dll	\SystemRoot\system32\halmacpi.dll	Disabled
0x83cf60f0	0x80bb0000	0x8000	kdcom.dll	\SystemRoot\system32\kdcom.dll	Disabled
0x83cf6070	0x86606000	0x85000	mcupdate.dll	\SystemRoot\system32\mcupdate_GenuineIntel.dll	Disabled
0x83d06c98	0x8668b000	0x11000	PSHED.dll	\SystemRoot\system32\PSHED.dll	Disabled
0x83d06c18	0x8669c000	0x8000	BOOTVID.dll	\SystemRoot\system32\BOOTVID.dll	Disabled
0x83d06ba0	0x866a4000	0x42000	CLFS.SYS	\SystemRoot\system32\CLFS.SYS	Disabled
0x83d06b28	0x866e6000	0x68000	CI.dll	\SystemRoot\system32\CI.dll	Disabled
0x83d06aa8	0x8674e000	0x81000	Wdf01000.sys	\SystemRoot\system32\drivers\Wdf01000.sys	Disabled
0x83d06a28	0x867cf000	0xe000	WDFLDR.SYS	\SystemRoot\system32\drivers\WDFLDR.SYS	Disabled
0x83d069b0	0x86812000	0x48000	ACPI.sys	\SystemRoot\system32\drivers\ACPI.sys	Disabled
0x83d06930	0x8685a000	0x9000	WMILIB.SYS	\SystemRoot\system32\drivers\WMILIB.SYS	Disabled
0x83d068b0	0x86863000	0x8000	msisadrv.sys	\SystemRoot\system32\drivers\msisadrv.sys	Disabled
0x83d06838	0x8686b000	0x2a000	pci.sys	\SystemRoot\system32\drivers\pci.sys	Disabled
0x83d067b8	0x86895000	0xb000	vdrvroot.sys	\SystemRoot\system32\drivers\vdrvroot.sys	Disabled
0x83d06738	0x868a0000	0x11000	partmgr.sys	\SystemRoot\System32\drivers\partmgr.sys	Disabled
0x83d066b8	0x868b1000	0x8000	compbatt.sys	\SystemRoot\system32\DRIVERS\compbatt.sys	Disabled
0x83d07008	0x868b9000	0xb000	BATTC.SYS	\SystemRoot\system32\DRIVERS\BATTC.SYS	Disabled
0x83d07f88	0x868c4000	0x10000	volmgr.sys	\SystemRoot\system32\drivers\volmgr.sys	Disabled
0x83d07f08	0x868d4000	0x4b000	volmgrx.sys	\SystemRoot\System32\drivers\volmgrx.sys	Disabled
0x83d07e88	0x8691f000	0x16000	mountmgr.sys	\SystemRoot\System32\drivers\mountmgr.sys	Disabled
0x83d07e08	0x86935000	0x9000	atapi.sys	\SystemRoot\system32\drivers\atapi.sys	Disabled
0x83d07d88	0x8693e000	0x23000	ataport.SYS	\SystemRoot\system32\drivers\ataport.SYS	Disabled
0x83d07d08	0x86961000	0xa000	msahci.sys	\SystemRoot\system32\drivers\msahci.sys	Disabled
0x83d07c88	0x8696b000	0xe000	PCIIDEX.SYS	\SystemRoot\system32\drivers\PCIIDEX.SYS	Disabled
0x83d07c08	0x86979000	0x9000	amdxata.sys	\SystemRoot\system32\drivers\amdxata.sys	Disabled
0x83d07b88	0x86982000	0x34000	fltmgr.sys	\SystemRoot\system32\drivers\fltmgr.sys	Disabled
0x83d07b08	0x869b6000	0x11000	fileinfo.sys	\SystemRoot\system32\drivers\fileinfo.sys	Disabled
0x83d07a90	0x86a00000	0x130000	Ntfs.sys	\SystemRoot\System32\Drivers\Ntfs.sys	Disabled
0x83d07a10	0x86b30000	0x2b000	msrpc.sys	\SystemRoot\System32\Drivers\msrpc.sys	Disabled
0x83d07990	0x86b5b000	0x13000	ksecdd.sys	\SystemRoot\System32\Drivers\ksecdd.sys	Disabled
0x83d07918	0x86b6e000	0x5e000	cng.sys	\SystemRoot\System32\Drivers\cng.sys	Disabled
0x83d07890	0x86bcc000	0x2e000	VBoxGuest.sys	\SystemRoot\system32\DRIVERS\VBoxGuest.sys	Disabled
0x83d07818	0x869c7000	0xe000	pcw.sys	\SystemRoot\System32\drivers\pcw.sys	Disabled
0x83d07798	0x869d5000	0x9000	Fs_Rec.sys	\SystemRoot\System32\Drivers\Fs_Rec.sys	Disabled
0x83d07720	0x86c29000	0xb8000	ndis.sys	\SystemRoot\system32\drivers\ndis.sys	Disabled
0x83d076a0	0x86ce1000	0x3f000	NETIO.SYS	\SystemRoot\system32\drivers\NETIO.SYS	Disabled
0x83d07620	0x86d20000	0x26000	ksecpkg.sys	\SystemRoot\System32\Drivers\ksecpkg.sys	Disabled
0x83d075a0	0x86e18000	0x150000	tcpip.sys	\SystemRoot\System32\drivers\tcpip.sys	Disabled
0x83d07520	0x86f68000	0x31000	fwpkclnt.sys	\SystemRoot\System32\drivers\fwpkclnt.sys	Disabled
0x83d074a0	0x86f99000	0x9000	vmstorfl.sys	\SystemRoot\system32\drivers\vmstorfl.sys	Disabled
0x83d07420	0x86fa2000	0x3f000	volsnap.sys	\SystemRoot\system32\drivers\volsnap.sys	Disabled
0x83d073a0	0x86fe1000	0x8000	spldr.sys	\SystemRoot\System32\Drivers\spldr.sys	Disabled
0x83d07320	0x86d46000	0x2d000	rdyboost.sys	\SystemRoot\System32\drivers\rdyboost.sys	Disabled
0x83d072a8	0x86fe9000	0x10000	mup.sys	\SystemRoot\System32\Drivers\mup.sys	Disabled
0x83d07228	0x86e00000	0x8000	hwpolicy.sys	\SystemRoot\System32\drivers\hwpolicy.sys	Disabled
0x83d071a8	0x86d73000	0x32000	fvevol.sys	\SystemRoot\System32\DRIVERS\fvevol.sys	Disabled
0x83d07130	0x86da5000	0x11000	disk.sys	\SystemRoot\system32\drivers\disk.sys	Disabled
0x83d070b0	0x86db6000	0x25000	CLASSPNP.SYS	\SystemRoot\system32\drivers\CLASSPNP.SYS	Disabled
0x843e2f90	0x869de000	0x1f000	cdrom.sys	\SystemRoot\system32\DRIVERS\cdrom.sys	Disabled
0x843e1650	0x86ff9000	0x7000	Null.SYS	\SystemRoot\System32\Drivers\Null.SYS	Disabled
0x843e2130	0x86c11000	0x7000	Beep.SYS	\SystemRoot\System32\Drivers\Beep.SYS	Disabled
0x8439e710	0x86c18000	0xc000	vga.sys	\SystemRoot\System32\drivers\vga.sys	Disabled
0x84524950	0x867dd000	0x20000	VIDEOPRT.SYS	\SystemRoot\System32\drivers\VIDEOPRT.SYS	Disabled
0x84524470	0x86df0000	0xd000	watchdog.sys	\SystemRoot\System32\drivers\watchdog.sys	Disabled
0x8439e278	0x86800000	0x8000	RDPCDD.sys	\SystemRoot\System32\DRIVERS\RDPCDD.sys	Disabled
