Volatility 3 Framework 2.7.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0x3d23ff58	TCPv4	0.0.0.0	49156	0.0.0.0	0	LISTENING	484	services.exe	N/A
0x3d23ff58	TCPv6	::	49156	::	0	LISTENING	484	services.exe	N/A
0x3d257308	UDPv4	0.0.0.0	0	*	0		652	VBoxService.ex	2018-10-23 08:31:02.000000 
0x3d25d6a8	UDPv4	0.0.0.0	3702	*	0		1488	svchost.exe	2018-10-23 08:29:53.000000 
0x3d25d6a8	UDPv6	::	3702	*	0		1488	svchost.exe	2018-10-23 08:29:53.000000 
0x3d25dc30	UDPv4	0.0.0.0	3702	*	0		1488	svchost.exe	2018-10-23 08:29:53.000000 
0x3d31c310	UDPv4	0.0.0.0	0	*	0		652	VBoxService.ex	2018-10-23 08:31:07.000000 
0x3d38a008	UDPv4	0.0.0.0	0	*	0		652	VBoxService.ex	2018-10-23 08:31:13.000000 
0x3d3cf310	UDPv4	0.0.0.0	0	*	0		652	VBoxService.ex	2018-10-23 08:31:07.000000 
0x3d435008	UDPv6	fe80::147b:c8fd:e2c6:69de	546	*	0		804	svchost.exe	2018-10-23 08:29:41.000000 
0x3d43c350	UDPv4	10.0.2.15	137	*	0		4	System	2018-10-23 08:29:41.000000 
0x3d43cc90	TCPv4	10.0.2.15	139	0.0.0.0	0	LISTENING	4	System	N/A
0x3d43e8c0	UDPv4	10.0.2.15	138	*	0		4	System	2018-10-23 08:29:41.000000 
0x3d45cf58	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	716	svchost.exe	N/A
0x3d45cf58	TCPv6	::	135	::	0	LISTENING	716	svchost.exe	N/A
0x3d465508	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	716	svchost.exe	N/A
0x3d46c1a0	TCPv4	0.0.0.0	49152	0.0.0.0	0	LISTENING	388	wininit.exe	N/A
0x3d46c1a0	TCPv6	::	49152	::	0	LISTENING	388	wininit.exe	N/A
0x3d46cd28	TCPv4	0.0.0.0	49152	0.0.0.0	0	LISTENING	388	wininit.exe	N/A
0x3d48b530	TCPv4	0.0.0.0	49153	0.0.0.0	0	LISTENING	804	svchost.exe	N/A
0x3d48b530	TCPv6	::	49153	::	0	LISTENING	804	svchost.exe	N/A
0x3d48d808	TCPv4	0.0.0.0	49153	0.0.0.0	0	LISTENING	804	svchost.exe	N/A
0x3d507120	TCPv4	0.0.0.0	49154	0.0.0.0	0	LISTENING	492	lsass.exe	N/A
0x3d508850	TCPv4	0.0.0.0	49154	0.0.0.0	0	LISTENING	492	lsass.exe	N/A
0x3d508850	TCPv6	::	49154	::	0	LISTENING	492	lsass.exe	N/A
0x3d51dd10	UDPv4	0.0.0.0	0	*	0		1192	svchost.exe	2018-10-23 08:29:41.000000 
0x3d51dd10	UDPv6	::	0	*	0		1192	svchost.exe	2018-10-23 08:29:41.000000 
0x3d521a38	UDPv4	0.0.0.0	5355	*	0		1192	svchost.exe	2018-10-23 08:29:46.000000 
0x3d521a38	UDPv6	::	5355	*	0		1192	svchost.exe	2018-10-23 08:29:46.000000 
0x3d52f0d0	TCPv4	0.0.0.0	49155	0.0.0.0	0	LISTENING	896	svchost.exe	N/A
0x3d530d58	TCPv4	0.0.0.0	49155	0.0.0.0	0	LISTENING	896	svchost.exe	N/A
0x3d530d58	TCPv6	::	49155	::	0	LISTENING	896	svchost.exe	N/A
0x3d5be698	UDPv4	0.0.0.0	5355	*	0		1192	svchost.exe	2018-10-23 08:29:46.000000 
0x3d5d3268	TCPv4	0.0.0.0	5357	0.0.0.0	0	LISTENING	4	System	N/A
0x3d5d3268	TCPv6	::	5357	::	0	LISTENING	4	System	N/A
0x3d7fb008	UDPv4	0.0.0.0	0	*	0		652	VBoxService.ex	2018-10-23 08:30:56.000000 
0x3e708a70	UDPv4	0.0.0.0	3702	*	0		1488	svchost.exe	2018-10-23 08:29:53.000000 
0x3e708a70	UDPv6	::	3702	*	0		1488	svchost.exe	2018-10-23 08:29:53.000000 
0x3e708e98	UDPv4	0.0.0.0	3702	*	0		1488	svchost.exe	2018-10-23 08:29:53.000000 
0x3e70f570	UDPv4	0.0.0.0	55478	*	0		1488	svchost.exe	2018-10-23 08:29:49.000000 
0x3e70f570	UDPv6	::	55478	*	0		1488	svchost.exe	2018-10-23 08:29:49.000000 
0x3e70fad8	UDPv4	0.0.0.0	55477	*	0		1488	svchost.exe	2018-10-23 08:29:49.000000 
0x3e71fba0	TCPv4	0.0.0.0	49156	0.0.0.0	0	LISTENING	484	services.exe	N/A
0x3e725008	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	N/A
0x3e725008	TCPv6	::	445	::	0	LISTENING	4	System	N/A
