Volatility 3 Framework 2.7.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xbf0f64a63080	132	-	N/A	False	2021-04-30 12:39:40.000000 	N/A	Disabled
108	4	Registry	0xbf0f64bc6040	4	-	N/A	False	2021-04-30 12:39:38.000000 	N/A	Disabled
396	4	smss.exe	0xbf0f66967040	2	-	N/A	False	2021-04-30 12:39:40.000000 	N/A	Disabled
492	484	csrss.exe	0xbf0f6adb6080	13	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
568	484	wininit.exe	0xbf0f6b67a080	1	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
584	560	csrss.exe	0xbf0f6b681080	16	-	1	False	2021-04-30 12:39:44.000000 	N/A	Disabled
668	560	winlogon.exe	0xbf0f6b6db080	5	-	1	False	2021-04-30 12:39:44.000000 	N/A	Disabled
712	568	services.exe	0xbf0f6b6da080	11	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
736	568	lsass.exe	0xbf0f6b6fb0c0	10	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
856	712	svchost.exe	0xbf0f6b7042c0	20	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
884	568	fontdrvhost.ex	0xbf0f6b70b1c0	5	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
892	668	fontdrvhost.ex	0xbf0f6b7091c0	5	-	1	False	2021-04-30 12:39:44.000000 	N/A	Disabled
976	712	svchost.exe	0xbf0f6b785340	12	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
320	712	svchost.exe	0xbf0f6b78a2c0	6	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
564	668	LogonUI.exe	0xbf0f6b7b7100	0	-	1	False	2021-04-30 12:39:44.000000 	2021-04-30 17:39:58.000000 	Disabled
560	668	dwm.exe	0xbf0f6b7ba080	21	-	1	False	2021-04-30 12:39:44.000000 	N/A	Disabled
1080	712	svchost.exe	0xbf0f6be74340	2	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
1088	712	svchost.exe	0xbf0f6be77080	3	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
1164	712	svchost.exe	0xbf0f6becd300	5	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
1172	712	svchost.exe	0xbf0f6becc080	3	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
1204	712	svchost.exe	0xbf0f6bed1080	1	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
1296	712	svchost.exe	0xbf0f6bf192c0	7	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
1336	712	svchost.exe	0xbf0f6bf20080	8	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
1376	712	svchost.exe	0xbf0f6be1c080	6	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
1440	712	svchost.exe	0xbf0f6bf9a0c0	4	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
1452	712	svchost.exe	0xbf0f6bfa52c0	8	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
1556	712	svchost.exe	0xbf0f64a81080	8	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
1660	712	VBoxService.ex	0xbf0f6bff4080	11	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
1684	712	svchost.exe	0xbf0f6bff5080	5	-	0	False	2021-04-30 12:39:44.000000 	N/A	Disabled
1784	712	svchost.exe	0xbf0f6c03d340	4	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
1804	712	svchost.exe	0xbf0f6c03b080	5	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
1824	712	svchost.exe	0xbf0f6bfee080	3	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
1880	712	svchost.exe	0xbf0f6c0b1340	2	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
1904	4	MemCompression	0xbf0f6c0b0040	34	-	N/A	False	2021-04-30 17:39:46.000000 	N/A	Disabled
1928	712	svchost.exe	0xbf0f6c0d4340	6	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
1960	712	svchost.exe	0xbf0f6c0d62c0	2	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
1540	712	svchost.exe	0xbf0f6c1af080	3	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
1600	712	svchost.exe	0xbf0f6c1ae300	2	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
1668	712	svchost.exe	0xbf0f6c1b1340	6	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
2168	712	svchost.exe	0xbf0f6c0d3080	9	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
2284	712	svchost.exe	0xbf0f6c280080	11	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
2392	712	svchost.exe	0xbf0f6c2e1080	7	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
2404	712	svchost.exe	0xbf0f6c2b8080	3	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
2420	712	svchost.exe	0xbf0f6c2e6080	6	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
2480	712	svchost.exe	0xbf0f6c2c82c0	8	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
2600	712	spoolsv.exe	0xbf0f6c392280	7	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
2632	712	svchost.exe	0xbf0f6c32a080	13	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
2676	712	svchost.exe	0xbf0f6c39d080	5	-	0	False	2021-04-30 17:39:46.000000 	N/A	Disabled
3008	712	svchost.exe	0xbf0f6c5b02c0	9	-	0	False	2021-04-30 17:39:47.000000 	N/A	Disabled
3016	712	svchost.exe	0xbf0f6c39b080	16	-	0	False	2021-04-30 17:39:47.000000 	N/A	Disabled
3028	712	svchost.exe	0xbf0f6c5d92c0	7	-	0	False	2021-04-30 17:39:47.000000 	N/A	Disabled
3036	712	svchost.exe	0xbf0f6c1342c0	11	-	0	False	2021-04-30 17:39:47.000000 	N/A	Disabled
2764	712	svchost.exe	0xbf0f6c5ee2c0	6	-	0	False	2021-04-30 17:39:47.000000 	N/A	Disabled
2772	712	svchost.exe	0xbf0f6c5f6340	1	-	0	False	2021-04-30 17:39:47.000000 	N/A	Disabled
