Volatility 3 Framework 2.7.0

PID	Process	Base	Size	Name	Path	LoadTime	File output

396	smss.exe	0x7ff7c8390000	0x28000	smss.exe	\SystemRoot\System32\smss.exe	2021-04-30 12:39:40.000000 	Disabled
396	smss.exe	0x7ffd89810000	0x1f5000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	2021-04-30 12:39:40.000000 	Disabled
492	csrss.exe	0x7ff7cca10000	0x7000	csrss.exe	C:\Windows\system32\csrss.exe	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd89810000	0x1f5000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd86f30000	0x18000	CSRSRV.dll	C:\Windows\SYSTEM32\CSRSRV.dll	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd86f10000	0x16000	basesrv.DLL	C:\Windows\system32\basesrv.DLL	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd86ef0000	0x15000	winsrv.DLL	C:\Windows\system32\winsrv.DLL	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd87520000	0x2c8000	kernelbase.dll	C:\Windows\System32\kernelbase.dll	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd88b10000	0xbd000	kernel32.dll	C:\Windows\System32\kernel32.dll	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd86ec0000	0x23000	winsrvext.dll	C:\Windows\SYSTEM32\winsrvext.dll	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd89320000	0x1a0000	USER32.dll	C:\Windows\System32\USER32.dll	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd872c0000	0x22000	win32u.dll	C:\Windows\System32\win32u.dll	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd89670000	0x2a000	GDI32.dll	C:\Windows\System32\GDI32.dll	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd86f50000	0x10b000	gdi32full.dll	C:\Windows\System32\gdi32full.dll	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd87320000	0x9d000	msvcp_win.dll	C:\Windows\System32\msvcp_win.dll	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd87060000	0x100000	ucrtbase.dll	C:\Windows\System32\ucrtbase.dll	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd88170000	0x355000	combase.dll	C:\Windows\System32\combase.dll	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd87d30000	0x12b000	RPCRT4.dll	C:\Windows\System32\RPCRT4.dll	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd87270000	0x4e000	cfgmgr32.dll	C:\Windows\System32\cfgmgr32.dll	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd86eb0000	0xe000	sxssrv.DLL	C:\Windows\system32\sxssrv.DLL	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd86cf0000	0xa2000	sxs.dll	C:\Windows\system32\sxs.dll	2021-04-30 12:39:44.000000 	Disabled
492	csrss.exe	0x7ffd877f0000	0x80000	bcryptPrimitives.dll	C:\Windows\System32\bcryptPrimitives.dll	2021-04-30 12:39:44.000000 	Disabled
568	wininit.exe	0x7ff72f990000	0x69000	wininit.exe	C:\Windows\system32\wininit.exe	2021-04-30 12:39:44.000000 	Disabled
568	wininit.exe	0x7ffd89810000	0x1f5000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	2021-04-30 12:39:44.000000 	Disabled
568	wininit.exe	0x7ffd88b10000	0xbd000	KERNEL32.DLL	C:\Windows\System32\KERNEL32.DLL	2021-04-30 12:39:44.000000 	Disabled
568	wininit.exe	0x7ffd87520000	0x2c8000	KERNELBASE.dll	C:\Windows\System32\KERNELBASE.dll	2021-04-30 12:39:44.000000 	Disabled
568	wininit.exe	0x7ffd87060000	0x100000	ucrtbase.dll	C:\Windows\System32\ucrtbase.dll	2021-04-30 12:39:44.000000 	Disabled
568	wininit.exe	0x7ffd87d30000	0x12b000	RPCRT4.dll	C:\Windows\System32\RPCRT4.dll	2021-04-30 12:39:44.000000 	Disabled
568	wininit.exe	0x7ffd87870000	0x9b000	sechost.dll	C:\Windows\System32\sechost.dll	2021-04-30 12:39:44.000000 	Disabled
